kode_entitas;nama_entitas;sektor;subsektor;informasi_pemegang_saham_pengendali;jenis_entitas;tanggal_akhir;mata_uang;kurs_konversi;pembulatan;jumlah_aset_lancar;jumlah_aset_tidak_lancar;jumlah_aset;jumlah_liabilitas_jangka_pendek;jumlah_liabilitas_jangka_panjang;jumlah_liabilitas;saham_biasa;saham_preferen;tambahan_modal_disetor;jumlah_ekuitas_yang_diatribusikan_kepada_pemilik_entitas_induk;jumlah_ekuitas;jumlah_liabilitas_dan_ekuitas;jumlah_laba_bruto;jumlah_laba_rugi;jumlah_laba_rugi_komprehensif;laba_rugi_komprehensif_yang_dapat_diatribusikan_ke_entitas_indu;laba_rugi_yang_dapat_diatribusikan_ke_entitas_induk;laba_rugi_yang_dapat_diatribusikan_ke_kepentingan_non_pengendal
HOKI;PT Buyung Poetra Sembada Tbk.;5. Consumer Goods Industry;51. Food And Beverages;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Satuan Penuh / Full Amount;490747589782.0;268098966249.0;758846556031.0;183224424681.0;12454553111.0;195678977792.0;237483462000.0;None;146665344188.0;563166837119.0;563167578239.0;758846556031.0;202397742620.0;90195136265.0;92570914640.0;92572173520.0;90196395145.0;-1258880.0
SMCB;Holcim Indonesia Tbk;3. Basic Industry And Chemicals;31. Cement;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Jutaan / In Million;2597672.0;16069515.0;18667187.0;9739775.0;2511062.0;12250837.0;3831450.0;None;2587309.0;6416350.0;6416350.0;18667187.0;1643338.0;-827985.0;-780601.0;-780601.0;-827985.0;None
BALI;PT Bali Towerindo Sentra Tbk.;7. Infrastructure, Utilities And Transportation;75. Non Building Construction;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Satuan Penuh / Full Amount;299165402551.0;3138487938710.0;3437653341261.0;516318541594.0;1227465633677.0;1743784175271.0;73307534000.0;None;64976255328.0;1693916886987.0;1693869165990.0;3437653341261.0;271924274783.0;50353175264.0;553640634913.0;553640042528.0;50352596405.0;578859.0
APAI;PT ANGKASA PURA I (PERSERO);7. Infrastructure, Utilities And Transportation;72. Toll Road, Airport, Harbor And Allied Products;Indonesian Government;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Ribuan / In Thousand;5115606412.0;26493309209.0;31608915621.0;7614989550.0;8941701402.0;16556690952.0;6414412000.0;None;22963207.0;15047361233.0;15052224669.0;31608915621.0;8521087310.0;2005918159.0;1934814131.0;1935914287.0;2007018315.0;-1100156.0
PALM;Provident Agro Tbk;1. Agriculture;12. Plantation;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Ribuan / In Thousand;154440107.0;1838104307.0;1992544414.0;102794199.0;277003135.0;379797334.0;106793105.0;None;531154469.0;1612029347.0;1612747080.0;1992544414.0;114126314.0;-111498768.0;-115284499.0;-115200149.0;-111414418.0;-84350.0
LPPI;PT Lontar Papyrus Pulp & Paper Industry;3. Basic Industry And Chemicals;38. Pulp & Paper;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Dollar Amerika / USD;None;Ribuan / In Thousand;716929.0;1280603.0;1997532.0;303664.0;769525.0;1073189.0;540242.0;None;None;924343.0;924343.0;1997532.0;270411.0;120756.0;121845.0;121845.0;120756.0;None
PLIN;Plaza Indonesia Realty Tbk;6. Property, Real Estate And Building Construction;61. Property And Real Estate;No Controlling Shareholder;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Ribuan / In Thousand;1412275572.0;3631650032.0;5043925604.0;1135313268.0;2676459808.0;3811773076.0;710000000.0;None;22656487.0;1118935738.0;1232152528.0;5043925604.0;1056460767.0;214534304.0;225933553.0;210958580.0;199898358.0;14635946.0
SAFE;Steady Safe Tbk;7. Infrastructure, Utilities And Transportation;74. Transportation;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Satuan Penuh / Full Amount;41100383127.0;306736945883.0;347837329010.0;210911344355.0;197549105047.0;408460449402.0;218234264000.0;None;506311100324.0;-60150471029.0;-60623120392.0;347837329010.0;21964808146.0;-20514021923.0;-20572221486.0;-20572221253.0;-20514021690.0;-233.0
POLY;Asia Pacific Fibers Tbk;4. Miscellaneous Industry;43. Textile, Garment;Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Dollar Amerika / USD;14481.0;Satuan Penuh / Full Amount;133845535.0;104401293.0;238246828.0;1100156831.0;67515608.0;1167672439.0;635689316.0;None;624323168.0;-929425611.0;-929425611.0;238246828.0;40938921.0;12832260.0;13815361.0;13815361.0;12832260.0;None
ISSP;PT Steel Pipe Industry of Indonesia Tbk;3. Basic Industry And Chemicals;33. Metal And Allied Products;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Jutaan / In Million;3640720.0;2853350.0;6494070.0;2579383.0;999271.0;3578654.0;718599.0;None;509125.0;2915352.0;2915416.0;6494070.0;531696.0;48741.0;74475.0;74457.0;48723.0;18.00
SMRU;SMR Utama Tbk;2. Mining;21. Coal Mining;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Satuan Penuh / Full Amount;502905663537.0;1405481184711.0;1908386848248.0;216453725247.0;733714549887.0;950168275134.0;1249938578200.0;None;259878346851.0;958428799964.0;958218573114.0;1908386848248.0;126822695759.0;-69562072768.0;-65987627371.0;-65985009038.0;-69559421561.0;-2651207.0
MARK;PT Mark Dynamics Indonesia Tbk.;3. Basic Industry And Chemicals;32. Ceramics, Glass, Porcelain;Individual Foreign, Non-Residential;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Satuan Penuh / Full Amount;162149436873.0;155930889592.0;318080326465.0;73075412445.0;7267044064.0;80342456509.0;76000006200.0;None;20749405590.0;237737869956.0;237737869956.0;318080326465.0;None;81905439662.0;82294005202.0;82294005202.0;81905439662.0;None
PRDA;PT Prodia Widyahusada Tbk.;9. Trade, Services & Investment;96. Healthcare;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Jutaan / In Million;1202095.0;728286.0;1930381.0;164283.0;203932.0;368215.0;93750.0;None;1153146.0;1562166.0;1562166.0;1930381.0;942811.0;175450.0;254665.0;254665.0;175450.0;None
PNSE;Pudjiadi & Sons Tbk;9. Trade, Services & Investment;94. Tourism, Restaurant And  Hotel;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Satuan Penuh / Full Amount;72353850695.0;385123808372.0;457477659067.0;71298664786.0;103731044974.0;175029709760.0;79781349600.0;None;18079084218.0;206714915770.0;282447949307.0;457477659067.0;120811209029.0;-10060854778.0;-2446692874.0;-5463103037.0;-11577731475.0;1516876697.0
PPRE;PT PP Presisi Tbk.;7. Infrastructure, Utilities And Transportation;75. Non Building Construction;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Satuan Penuh / Full Amount;3118829362600.0;3137166831027.0;6255996193627.0;1740789211959.0;1678451093340.0;3419240305299.0;1022427100000.0;None;749560161538.0;2282347470716.0;2836755888328.0;6255996193627.0;None;432298157985.0;469070091339.0;345793060786.0;326424741945.0;105873416040.0
BCIC;PT Bank JTrust Indonesia Tbk.;8. Finance;81. Bank;Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Jutaan / In Million;None;None;17823669.0;None;None;16508766.0;12223149.0;None;178765.0;1314903.0;1314903.0;None;None;-401101.0;-550796.0;-550796.0;-401101.0;None
TRIS;Trisula International Tbk;4. Miscellaneous Industry;43. Textile, Garment;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Satuan Penuh / Full Amount;439825803141.0;193188478184.0;633014281325.0;273186011900.0;3603425447.0;276789437347.0;104758780200.0;None;42875084310.0;243989247355.0;356224843978.0;633014281325.0;190853579722.0;19665074694.0;19823833435.0;5465159755.0;5921511385.0;13743563309.0
DEFI;Danasupra Erapacific Tbk;8. Finance;82. Financial Institution;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Satuan Penuh / Full Amount;None;None;76749900494.0;None;None;1071458353.0;33597189667.0;None;None;75678442141.0;75678442141.0;76749900494.0;None;1650685099.0;-6981675679.0;-6981675679.0;1650685099.0;None
BIPI;PT Astrindo Nusantara Infrastruktur Tbk.;2. Mining;22. Crude Petroleum & Natural Gas Production;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Dollar Amerika / USD;14481.0;Satuan Penuh / Full Amount;282388791.0;950571783.0;1232960574.0;483188439.0;367933190.0;851121629.0;386453778.0;None;95630285.0;248480555.0;381838945.0;1232960574.0;None;21888069.0;21753889.0;18614725.0;18748905.0;3139164.0
