kode_entitas;nama_entitas;sektor;subsektor;informasi_pemegang_saham_pengendali;jenis_entitas;tanggal_akhir;mata_uang;kurs_konversi;pembulatan;jumlah_aset_lancar;jumlah_aset_tidak_lancar;jumlah_aset;jumlah_liabilitas_jangka_pendek;jumlah_liabilitas_jangka_panjang;jumlah_liabilitas;saham_biasa;saham_preferen;tambahan_modal_disetor;jumlah_ekuitas_yang_diatribusikan_kepada_pemilik_entitas_induk;jumlah_ekuitas;jumlah_liabilitas_dan_ekuitas;jumlah_laba_bruto;jumlah_laba_rugi;jumlah_laba_rugi_komprehensif;laba_rugi_komprehensif_yang_dapat_diatribusikan_ke_entitas_indu;laba_rugi_yang_dapat_diatribusikan_ke_entitas_induk;laba_rugi_yang_dapat_diatribusikan_ke_kepentingan_non_pengendal
AALI;Astra Agro Lestari Tbk;1. Agriculture;12. Plantation;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Jutaan / In Million;4472011.0;22502113.0;26974124.0;1566765.0;6428832.0;7995597.0;962344.0;0;3878995.0;18521153.0;18978527.0;26974124.0;2144506.0;243629.0;-5223.0;-37346.0;211117.0;32512.0
ABBA;Mahaka Media Tbk;9. Trade, Services & Investment;95. Advertising, Printing And Media;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Satuan Penuh / Full Amount;137086972273.0;275823615196.0;412910587469.0;173314790637.0;147539354793.0;320854145430.0;275512500000.0;0;-163623432582.0;107119881484.0;92056442039.0;412910587469.0;102514500287.0;-44287168469.0;-106952008610.0;-96063505389.0;-32542540065.0;-11744628404.0
ABDA;Asuransi Bina Dana Arta Tbk;8. Finance;84. Insurance;Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Ribuan / In Thousand;0;0;2579654391.0;0;0;1325948582.0;193316724.0;0;8109426.0;1253614335.0;1253704378.0;0;0;87524342.0;37248714.0;37248183.0;87523919.0;423.00.00
ABMM;ABM Investama Tbk;9. Trade, Services & Investment;98. Investment Company;Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Dollar Amerika / USD;14105.0;Satuan Penuh / Full Amount;260754973.0;593473792.0;854228765.0;216602636.0;392432418.0;609035054.0;146554908.0;0;115087198.0;266347977.0;245193711.0;854228765.0;107830761.0;3893964.0;4852704.0;8664343.0;7556445.0;-3662481.0
ABSM;PT AB Sinar Mas Multifinance;8. Finance;82. Financial Institution;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Ribuan / In Thousand;0;0;789062251.0;0;0;337113055.0;375000000.0;0;11740385.0;451949196.0;451949196.0;789062251.0;0;15373743.0;15511993.0;15511993.0;15373743.0;0
ACES;Ace Hardware Indonesia Tbk;9. Trade, Services & Investment;93. Retail Trade;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Satuan Penuh / Full Amount;4369550647718.0;2272257357427.0;6641808005145.0;783375432849.0;1182131278030.0;1965506710879.0;171500000000.0;0;404435806481.0;4661767677627.0;4676301294266.0;6641808005145.0;3887090318844.0;1023636538399.0;977611470649.0;971866085348.0;1017394917073.0;6241621326.0
ACST;PT Acset Indonusa Tbk.;6. Property, Real Estate And Building Construction;62. Building Construction;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;14105.0;Jutaan / In Million;0;0;10446519.0;0;0;10160043.0;70000.0;0;808252.0;228325.0;286476.0;10446519.0;0;-1131849.0;-1136817.0;-1141384.0;-1136236.0;4387.00.00
ADES;Akasha Wira International Tbk  Tbk;5. Consumer Goods Industry;51. Food And Beverages;Foreign Corporation;Foreign Company;31/12/20;Rupiah / IDR;0;Jutaan / In Million;351120.0;471255.0;822375.0;175191.0;79247.0;254438.0;589897.0;0;5068.00.00;567937.0;567937.0;822375.0;347422.0;83885.0;86023.0;86023.0;83885.0;0
ADHI;PT Adhi Karya (Persero) Tbk.;6. Property, Real Estate And Building Construction;62. Building Construction;Indonesian Government;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Satuan Penuh / Full Amount;30315155278021.0;6200677936528.0;36515833214549.0;24562726968328.0;5118808566200.0;29681535534528.0;356084937600.0;0;2588833884853.0;6810018544505.0;6834297680021.0;36515833214549.0;2336053613279.0;665048421529.0;665607564805.0;664365390842.0;663806247566.0;1242173963.0
ADMF;Adira Dinamika Multi Finance Tbk;8. Finance;82. Financial Institution;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Jutaan / In Million;0;0;35116853.0;0;0;27038058.0;100000.0;0;6750.00.00;8078795.0;8078795.0;35116853.0;0;2108691.0;1958596.0;1958596.0;2108691.0;0
